dream_id,dream_description,date,user_id,sleep_quality,lucidity_level,emotional_intensity
1,"I was flying over a crystal-clear ocean, feeling completely free and euphoric. The sun warmed my skin and dolphins leaped alongside me.",2024-01-01,101,8,3,8
2,"Lost in a dense, dark forest where shadows moved between ancient trees. Heart pounding, I heard distant whispers calling my name.",2024-01-02,101,5,1,7
3,Running through endless city streets searching for a mysterious figure. Skyscrapers towered above me like silent giants watching my desperation.,2024-01-03,102,6,2,6
4,"Swimming with glowing dolphins in bioluminescent waters, experiencing profound peace and connection with marine life.",2024-01-04,103,9,4,9
5,Trapped in an intricate maze with shifting walls. Each turn led to deeper confusion and growing claustrophobia.,2024-01-05,102,4,1,8
6,Reunited with childhood friends in a sun-drenched meadow. We laughed and shared stories under the warm golden light.,2024-01-06,104,8,3,7
7,Taking a crucial exam but the questions were in an alien language. Panic rose as time ticked away mercilessly.,2024-01-07,105,5,2,6
8,"Exploring ancient Egyptian pyramids, discovering hidden chambers filled with golden artifacts and mysterious hieroglyphs.",2024-01-08,103,7,4,8
9,Being chased by a shadowy figure through a haunted mansion. Each room contained disturbing memories from my past.,2024-01-09,106,3,1,9
10,"Floating in zero gravity among stars and galaxies, feeling both insignificant and connected to the entire universe.",2024-01-10,107,9,5,7
11,Attending my own wedding but unable to see the bride's face. Guests' faces were blurred and voices distorted.,2024-01-11,108,6,2,6
12,Teaching a classroom of eager students who hung on my every word. Felt empowered and deeply fulfilled.,2024-01-12,109,8,3,8
13,"Falling from a great height but never hitting the ground, suspended in endless blue sky with clouds cushioning my fall.",2024-01-13,110,7,4,5
14,Cooking a feast in a magical kitchen where ingredients assembled themselves. The aromas were intoxicatingly wonderful.,2024-01-14,111,9,3,7
15,Navigating a post-apocalyptic wasteland with a small group of survivors. Every decision felt life-or-death important.,2024-01-15,112,4,2,8
16,"Performing on stage to a cheering audience, playing guitar with impossible skill and feeling pure artistic flow.",2024-01-16,113,8,4,9
17,Walking through my childhood home but rooms kept shifting and changing into unfamiliar spaces.,2024-01-17,114,5,3,6
18,Rescuing abandoned animals and building a sanctuary where they could live happily and freely.,2024-01-18,115,8,3,8
19,Solving an ancient puzzle that unlocked cosmic secrets about the nature of reality and consciousness.,2024-01-19,116,7,4,7
20,Dancing at a vibrant festival where colors were more intense and music resonated in my very soul.,2024-01-20,117,9,5,9
